Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,"Centre Cívic Barceloneta",ActivitatsDeFormacio,234,,,01,"Ciutat Vella",03,"la Barceloneta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
2021,"Centre Cívic Barceloneta",InscripcionsActivitatsFormacio,1616,,,01,"Ciutat Vella",03,"la Barceloneta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
2021,"Centre Cívic Barceloneta",Metres_quadrats,1431,,,01,"Ciutat Vella",03,"la Barceloneta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
2021,"Centre Cívic Baró de Viver",ActivitatsDeFormacio,92,,,09,"Sant Andreu",58,"Baró de Viver",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2021,"Centre Cívic Baró de Viver",InscripcionsActivitatsFormacio,995,,,09,"Sant Andreu",58,"Baró de Viver",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2021,"Centre Cívic Baró de Viver",Metres_quadrats,1535,,,09,"Sant Andreu",58,"Baró de Viver",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2021,"Centre Cívic Besòs",ActivitatsDeFormacio,155,,,10,"Sant Martí",70,"el Besòs i el Maresme",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2021,"Centre Cívic Besòs",InscripcionsActivitatsFormacio,1150,,,10,"Sant Martí",70,"el Besòs i el Maresme",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2021,"Centre Cívic Besòs",Metres_quadrats,3858,,,10,"Sant Martí",70,"el Besòs i el Maresme",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2021,"Centre Cívic Bon Pastor",ActivitatsDeFormacio,20,,,09,"Sant Andreu",59,"el Bon Pastor",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
2021,"Centre Cívic Bon Pastor",InscripcionsActivitatsFormacio,164,,,09,"Sant Andreu",59,"el Bon Pastor",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
2021,"Centre Cívic Bon Pastor",Metres_quadrats,1370,,,09,"Sant Andreu",59,"el Bon Pastor",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
2021,"Centre Cívic Can Basté",ActivitatsDeFormacio,115,,,08,"Nou Barris",46,"el Turó de la Peira",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2021,"Centre Cívic Can Basté",InscripcionsActivitatsFormacio,1031,,,08,"Nou Barris",46,"el Turó de la Peira",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2021,"Centre Cívic Can Basté",Metres_quadrats,1060,,,08,"Nou Barris",46,"el Turó de la Peira",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2021,"Centre Cívic Can Castelló",ActivitatsDeFormacio,69,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
2021,"Centre Cívic Can Castelló",InscripcionsActivitatsFormacio,366,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
2021,"Centre Cívic Can Castelló",Metres_quadrats,1200,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
2021,"Centre Cívic Can Clariana Cultural",ActivitatsDeFormacio,25,,,09,"Sant Andreu",62,"el Congrés i els Indians",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.4275181,2.178412
2021,"Centre Cívic Can Clariana Cultural",InscripcionsActivitatsFormacio,208,,,09,"Sant Andreu",62,"el Congrés i els Indians",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.4275181,2.178412
2021,"Centre Cívic Can Clariana Cultural",Metres_quadrats,842,,,09,"Sant Andreu",62,"el Congrés i els Indians",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.4275181,2.178412
2021,"Centre Cívic Can Deu",ActivitatsDeFormacio,100,,,04,"Les Corts",19,"les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
2021,"Centre Cívic Can Deu",InscripcionsActivitatsFormacio,792,,,04,"Les Corts",19,"les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
2021,"Centre Cívic Can Deu",Metres_quadrats,803,,,04,"Les Corts",19,"les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
2021,"Centre Cívic Can Felipa",ActivitatsDeFormacio,124,,,10,"Sant Martí",68,"el Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2021,"Centre Cívic Can Felipa",InscripcionsActivitatsFormacio,791,,,10,"Sant Martí",68,"el Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2021,"Centre Cívic Can Felipa",Metres_quadrats,3125,,,10,"Sant Martí",68,"el Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2021,"Centre Cívic Can Verdaguer",ActivitatsDeFormacio,140,,,08,"Nou Barris",45,Porta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2021,"Centre Cívic Can Verdaguer",InscripcionsActivitatsFormacio,784,,,08,"Nou Barris",45,Porta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2021,"Centre Cívic Can Verdaguer",Metres_quadrats,990,,,08,"Nou Barris",45,Porta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
